"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"1","... < 0 DM",6,"critical account/other credits existing (not at this bank)","radio/television",1169,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"real estate",67,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"2","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","radio/television",5951,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"3","no checking account",12,"critical account/other credits existing (not at this bank)","education",2096,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"4","... < 0 DM",42,"existing credits paid back duly till now","furniture/equipment",7882,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","guarantor",4,"if not A121 : building society savings agreement/life insurance",45,"none","for free",1,"skilled employee / official",2,"none","yes","GoodLoan"
"5","... < 0 DM",24,"delay in paying off in the past","car (new)",4870,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","yes","BadLoan"
"6","no checking account",36,"existing credits paid back duly till now","education",9055,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",4,"unknown / no property",35,"none","for free",1,"unskilled - resident",2,"yes, registered under the customers name","yes","GoodLoan"
"7","no checking account",24,"existing credits paid back duly till now","furniture/equipment",2835,"500 < =  ... < 1000 DM",".. > =  7 years",3,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",53,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"8","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","car (used)",6948,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",35,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"9","no checking account",12,"existing credits paid back duly till now","radio/television",3059,".. > =  1000 DM","4 < =  ... < 7 years",2,"male : divorced/separated","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"10","0 < =  ... < 200 DM",30,"critical account/other credits existing (not at this bank)","car (new)",5234,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","BadLoan"
"11","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1295,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",25,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"12","... < 0 DM",48,"existing credits paid back duly till now","business",4308,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"13","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1567,"... < 100 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"14","... < 0 DM",24,"critical account/other credits existing (not at this bank)","car (new)",1199,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",60,"none","own",2,"unskilled - resident",1,"none","yes","BadLoan"
"15","... < 0 DM",15,"existing credits paid back duly till now","car (new)",1403,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",28,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"16","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1282,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",32,"none","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"17","no checking account",24,"critical account/other credits existing (not at this bank)","radio/television",2424,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",53,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"18","... < 0 DM",30,"no credits taken/all credits paid back duly","business",8072,"unknown/ no savings account","... < 1 year",2,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",25,"bank","own",3,"skilled employee / official",1,"none","yes","GoodLoan"
"19","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","car (used)",12579,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",2,"unknown / no property",44,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"20","no checking account",24,"existing credits paid back duly till now","radio/television",3430,"500 < =  ... < 1000 DM",".. > =  7 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"21","no checking account",9,"critical account/other credits existing (not at this bank)","car (new)",2134,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",48,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"22","... < 0 DM",6,"existing credits paid back duly till now","radio/television",2647,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",2,"male : single","none",3,"real estate",44,"none","rent",1,"skilled employee / official",2,"none","yes","GoodLoan"
"23","... < 0 DM",10,"critical account/other credits existing (not at this bank)","car (new)",2241,"... < 100 DM","... < 1 year",1,"male : single","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none","no","GoodLoan"
